date,time_minus_12hours,currency,event,impact,datetime,all_day,actual,forecast,currency_strength
 Jan 2,3:00pm,GBP,Final Manufacturing PMI,Low,2024-01-02 15:00:00,False,46.2,46.4,
 Jan 2,8:00pm,CAD,Manufacturing PMI,Low,2024-01-02 20:00:00,False,45.4,,
 Jan 2,8:15pm,USD,Final Manufacturing PMI,Low,2024-01-02 20:15:00,False,47.9,48.4,worse
 Jan 2,8:21pm,NZD,GDT Price Index,Low,2024-01-02 20:21:00,False,1.2%,,
 Jan 2,8:30pm,USD,Construction Spending m/m,Low,2024-01-02 20:30:00,False,0.4%,0.6%,
 Jan 3,All Day,JPY,Bank Holiday,None,2024-01-03 00:00:00,True,,,
 Jan 3,1:30pm,EUR,Spanish Unemployment Change,Low,2024-01-03 13:30:00,False,-27.4K,-15.7K,better
 Jan 3,2:00pm,CHF,Manufacturing PMI,Low,2024-01-03 14:00:00,False,43.0,43.0,
 Jan 3,2:25pm,EUR,German Unemployment Change,Low,2024-01-03 14:25:00,False,5K,20K,better
 Jan 3,7:00pm,USD,FOMC Member Barkin Speaks,Medium,2024-01-03 19:00:00,False,,,
 Jan 3,8:30pm,USD,ISM Manufacturing PMI,High,2024-01-03 20:30:00,False,47.4,47.2,
 Jan 3,8:30pm,USD,JOLTS Job Openings,High,2024-01-03 20:30:00,False,8.79M,8.84M,
 Jan 3,8:30pm,USD,ISM Manufacturing Prices,Medium,2024-01-03 20:30:00,False,45.2,49.5,worse
 Jan 3,All Day,USD,Wards Total Vehicle Sales,Low,2024-01-03 00:00:00,True,15.8M,15.5M,better
 Jan 4,12:30am,USD,FOMC Meeting Minutes,High,2024-01-04 00:30:00,False,,,
 Jan 4,6:00am,JPY,Final Manufacturing PMI,Low,2024-01-04 06:00:00,False,47.9,47.7,
 Jan 4,7:15am,CNY,Caixin Services PMI,Medium,2024-01-04 07:15:00,False,52.9,51.6,better
 Jan 4,All Day,EUR,German Prelim CPI m/m,High,2024-01-04 00:00:00,True,0.1%,0.2%,worse
 Jan 4,1:15pm,EUR,French Prelim CPI m/m,Low,2024-01-04 13:15:00,False,0.1%,0.2%,worse
 Jan 4,1:45pm,EUR,Spanish Services PMI,Low,2024-01-04 13:45:00,False,51.5,51.1,better
 Jan 4,2:15pm,EUR,Italian Services PMI,Low,2024-01-04 14:15:00,False,49.8,49.8,
 Jan 4,2:20pm,EUR,French Final Services PMI,Low,2024-01-04 14:20:00,False,45.7,44.3,better
 Jan 4,2:25pm,EUR,German Final Services PMI,Low,2024-01-04 14:25:00,False,49.3,48.4,better
 Jan 4,2:30pm,EUR,Final Services PMI,Low,2024-01-04 14:30:00,False,48.8,48.1,better
 Jan 4,3:00pm,GBP,Final Services PMI,Low,2024-01-04 15:00:00,False,53.4,52.7,better
 Jan 4,3:00pm,GBP,M4 Money Supply m/m,Low,2024-01-04 15:00:00,False,-0.1%,0.2%,worse
 Jan 4,3:00pm,GBP,Mortgage Approvals,Low,2024-01-04 15:00:00,False,50K,48K,better
 Jan 4,3:00pm,GBP,Net Lending to Individuals m/m,Low,2024-01-04 15:00:00,False,2.0B,1.6B,better
 Jan 4,3:31pm,EUR,French 10-y Bond Auction,Low,2024-01-04 15:31:00,False,2.59|1.8,,
 Jan 4,6:00pm,USD,Challenger Job Cuts y/y,Low,2024-01-04 18:00:00,False,-20.2%,,
 Jan 4,6:45pm,USD,ADP Non-Farm Employment Change,High,2024-01-04 18:45:00,False,164K,120K,better
 Jan 4,7:00pm,USD,Unemployment Claims,High,2024-01-04 19:00:00,False,202K,217K,better
 Jan 4,8:15pm,USD,Final Services PMI,Low,2024-01-04 20:15:00,False,51.4,51.3,
 Jan 4,9:00pm,USD,Natural Gas Storage,Low,2024-01-04 21:00:00,False,-14B,-33B,worse
 Jan 4,9:30pm,USD,Crude Oil Inventories,Low,2024-01-04 21:30:00,False,-5.5M,-3.2M,better
 Jan 5,5:20am,JPY,Monetary Base y/y,Low,2024-01-05 05:20:00,False,7.8%,9.0%,worse
 Jan 5,10:30am,JPY,Consumer Confidence,Low,2024-01-05 10:30:00,False,37.2,36.4,better
 Jan 5,12:30pm,EUR,German Retail Sales m/m,Low,2024-01-05 12:30:00,False,-2.5%,-0.5%,worse
 Jan 5,12:30pm,GBP,Halifax HPI m/m,Low,2024-01-05 12:30:00,False,1.1%,0.1%,better
 Jan 5,3:00pm,GBP,Construction PMI,Medium,2024-01-05 15:00:00,False,46.8,46.1,better
 Jan 5,3:30pm,EUR,Core CPI Flash Estimate y/y,Medium,2024-01-05 15:30:00,False,3.4%,3.4%,
 Jan 5,3:30pm,EUR,CPI Flash Estimate y/y,Medium,2024-01-05 15:30:00,False,2.9%,3.0%,worse
 Jan 5,3:30pm,EUR,PPI m/m,Low,2024-01-05 15:30:00,False,-0.3%,-0.1%,worse
 Jan 5,3:30pm,EUR,Italian Prelim CPI m/m,Low,2024-01-05 15:30:00,False,0.2%,0.2%,
 Jan 5,7:00pm,CAD,Employment Change,High,2024-01-05 19:00:00,False,0.1K,12.2K,worse
 Jan 5,7:00pm,CAD,Unemployment Rate,High,2024-01-05 19:00:00,False,5.8%,5.9%,better
 Jan 5,7:00pm,USD,Average Hourly Earnings m/m,High,2024-01-05 19:00:00,False,0.4%,0.3%,better
 Jan 5,7:00pm,USD,Non-Farm Employment Change,High,2024-01-05 19:00:00,False,216K,168K,better
 Jan 5,7:00pm,USD,Unemployment Rate,High,2024-01-05 19:00:00,False,3.7%,3.8%,better
 Jan 5,8:30pm,CAD,Ivey PMI,Medium,2024-01-05 20:30:00,False,56.3,55.0,better
 Jan 5,8:30pm,USD,ISM Services PMI,High,2024-01-05 20:30:00,False,50.6,52.5,worse
 Jan 5,8:30pm,USD,Factory Orders m/m,Low,2024-01-05 20:30:00,False,2.6%,2.0%,better
 Jan 6,12:00am,USD,FOMC Member Barkin Speaks,Medium,2024-01-06 00:00:00,False,,,
 Jan 8,All Day,JPY,Bank Holiday,None,2024-01-08 00:00:00,True,,,
 Jan 8,12:30pm,EUR,German Factory Orders m/m,Low,2024-01-08 12:30:00,False,0.3%,1.1%,worse
 Jan 8,12:30pm,EUR,German Trade Balance,Low,2024-01-08 12:30:00,False,20.4B,17.9B,better
 Jan 8,1:00pm,CHF,CPI m/m,High,2024-01-08 13:00:00,False,0.0%,-0.1%,better
 Jan 8,1:00pm,CHF,Retail Sales y/y,Low,2024-01-08 13:00:00,False,0.7%,0.0%,better
 Jan 8,3:00pm,EUR,Sentix Investor Confidence,Low,2024-01-08 15:00:00,False,-15.8,-15.5,worse
 Jan 8,3:30pm,EUR,Retail Sales m/m,Low,2024-01-08 15:30:00,False,-0.3%,-0.3%,
 Jan 8,11:00pm,USD,FOMC Member Bostic Speaks,Low,2024-01-08 23:00:00,False,,,
 Jan 9,1:30am,USD,Consumer Credit m/m,Low,2024-01-09 01:30:00,False,23.8B,8.9B,better
 Jan 9,5:00am,JPY,Tokyo Core CPI y/y,Medium,2024-01-09 05:00:00,False,2.1%,2.1%,
 Jan 9,5:00am,JPY,Household Spending y/y,Low,2024-01-09 05:00:00,False,-2.9%,-2.2%,worse
 Jan 9,5:31am,GBP,BRC Retail Sales Monitor y/y,Low,2024-01-09 05:31:00,False,1.9%,2.3%,worse
 Jan 9,6:00am,AUD,Retail Sales m/m,Medium,2024-01-09 06:00:00,False,2.0%,1.2%,better
 Jan 9,6:00am,AUD,Building Approvals m/m,Low,2024-01-09 06:00:00,False,1.6%,-1.9%,better
 Jan 9,12:15pm,CHF,Unemployment Rate,Low,2024-01-09 12:15:00,False,2.2%,2.2%,
 Jan 9,12:30pm,EUR,German Industrial Production m/m,Low,2024-01-09 12:30:00,False,-0.7%,0.4%,worse
 Jan 9,1:15pm,EUR,French Trade Balance,Low,2024-01-09 13:15:00,False,-5.9B,-7.9B,better
 Jan 9,1:30pm,CHF,Foreign Currency Reserves,Medium,2024-01-09 13:30:00,False,654B,,
 Jan 9,2:30pm,EUR,Italian Monthly Unemployment Rate,Low,2024-01-09 14:30:00,False,7.5%,7.8%,better
 Jan 9,3:30pm,EUR,Unemployment Rate,Low,2024-01-09 15:30:00,False,6.4%,6.5%,better
 Jan 9,4:30pm,USD,NFIB Small Business Index,Low,2024-01-09 16:30:00,False,91.9,90.7,better
 Jan 9,7:00pm,CAD,Building Permits m/m,Low,2024-01-09 19:00:00,False,-3.9%,-1.5%,worse
 Jan 9,7:00pm,CAD,Trade Balance,Low,2024-01-09 19:00:00,False,1.6B,2.0B,worse
 Jan 9,7:00pm,USD,Trade Balance,Low,2024-01-09 19:00:00,False,-63.2B,-64.9B,better
 Jan 9,8:32pm,USD,RCM/TIPP Economic Optimism,Low,2024-01-09 20:32:00,False,44.7,42.0,better
 Jan 9,10:30pm,USD,FOMC Member Barr Speaks,Low,2024-01-09 22:30:00,False,,,
 Jan 10,5:00am,JPY,Average Cash Earnings y/y,Low,2024-01-10 05:00:00,False,0.2%,1.5%,worse
 Jan 10,5:30am,NZD,ANZ Commodity Prices m/m,Low,2024-01-10 05:30:00,False,2.4%,,
 Jan 10,6:00am,AUD,CPI y/y,High,2024-01-10 06:00:00,False,4.3%,4.4%,worse
 Jan 10,9:05am,JPY,10-y Bond Auction,Low,2024-01-10 09:05:00,False,0.60|2.9,,
 Jan 10,1:15pm,EUR,French Industrial Production m/m,Low,2024-01-10 13:15:00,False,0.5%,0.1%,better
 Jan 10,2:30pm,EUR,Italian Retail Sales m/m,Low,2024-01-10 14:30:00,False,0.4%,0.2%,better
 Jan 10,4:04pm,EUR,German 10-y Bond Auction,Low,2024-01-10 16:04:00,False,2.19|1.7,,
 Jan 10,7:45pm,GBP,BOE Gov Bailey Speaks,High,2024-01-10 19:45:00,False,,,
 Jan 10,8:30pm,USD,Final Wholesale Inventories m/m,Low,2024-01-10 20:30:00,False,-0.2%,-0.2%,
 Jan 10,9:00pm,USD,Crude Oil Inventories,Low,2024-01-10 21:00:00,False,1.3M,-0.2M,worse
 Jan 10,11:31pm,USD,10-y Bond Auction,Medium,2024-01-10 23:31:00,False,4.02|2.6,,
 Jan 11,1:45am,USD,FOMC Member Williams Speaks,Low,2024-01-11 01:45:00,False,,,
 Jan 11,3:15am,NZD,Building Consents m/m,Low,2024-01-11 03:15:00,False,-10.6%,,
 Jan 11,6:00am,AUD,Goods Trade Balance,Low,2024-01-11 06:00:00,False,11.44B,7.50B,better
 Jan 11,10:30am,JPY,Leading Indicators,Low,2024-01-11 10:30:00,False,107.7%,107.9%,
 Jan 11,2:30pm,EUR,ECB Economic Bulletin,Low,2024-01-11 14:30:00,False,,,
 Jan 11,2:30pm,EUR,Italian Industrial Production m/m,Low,2024-01-11 14:30:00,False,-1.5%,-0.2%,worse
 Jan 11,3:00pm,GBP,Housing Equity Withdrawal q/q,Low,2024-01-11 15:00:00,False,-21.8B,-20.4B,worse
 Jan 11,7:00pm,USD,Core CPI m/m,High,2024-01-11 19:00:00,False,0.3%,0.3%,
 Jan 11,7:00pm,USD,CPI m/m,High,2024-01-11 19:00:00,False,0.3%,0.2%,better
 Jan 11,7:00pm,USD,CPI y/y,High,2024-01-11 19:00:00,False,3.4%,3.2%,better
 Jan 11,7:00pm,USD,Unemployment Claims,High,2024-01-11 19:00:00,False,202K,209K,better
 Jan 11,9:00pm,USD,Natural Gas Storage,Low,2024-01-11 21:00:00,False,-140B,-121B,better
 Jan 11,11:31pm,USD,30-y Bond Auction,Medium,2024-01-11 23:31:00,False,4.23|2.4,,
 Jan 12,12:30am,USD,Federal Budget Balance,Low,2024-01-12 00:30:00,False,-129.4B,-66.2B,worse
 Jan 12,5:20am,JPY,Bank Lending y/y,Low,2024-01-12 05:20:00,False,3.1%,2.7%,better
 Jan 12,5:20am,JPY,Current Account,Low,2024-01-12 05:20:00,False,1.89T,2.18T,worse
 Jan 12,7:00am,CNY,CPI y/y,High,2024-01-12 07:00:00,False,-0.3%,-0.4%,better
 Jan 12,7:00am,CNY,PPI y/y,Medium,2024-01-12 07:00:00,False,-2.7%,-2.6%,
 Jan 12,7:41am,CNY,Trade Balance,Low,2024-01-12 07:41:00,False,541B,520B,better
 Jan 12,7:42am,CNY,USD-Denominated Trade Balance,Low,2024-01-12 07:42:00,False,75.3B,76.2B,worse
 Jan 12,9:05am,JPY,30-y Bond Auction,Low,2024-01-12 09:05:00,False,1.63|3.0,,
 Jan 12,10:30am,JPY,Economy Watchers Sentiment,Low,2024-01-12 10:30:00,False,50.7,49.9,better
 Jan 12,12:30pm,GBP,GDP m/m,High,2024-01-12 12:30:00,False,0.3%,0.2%,better
 Jan 12,12:30pm,GBP,Construction Output m/m,Low,2024-01-12 12:30:00,False,-0.2%,0.2%,worse
 Jan 12,12:30pm,GBP,Goods Trade Balance,Low,2024-01-12 12:30:00,False,-14.2B,-15.7B,better
 Jan 12,12:30pm,GBP,Index of Services 3m/3m,Low,2024-01-12 12:30:00,False,0.0%,0.1%,worse
 Jan 12,12:30pm,GBP,Industrial Production m/m,Low,2024-01-12 12:30:00,False,0.3%,0.3%,
 Jan 12,12:30pm,GBP,Manufacturing Production m/m,Low,2024-01-12 12:30:00,False,0.4%,0.3%,better
 Jan 12,1:15pm,EUR,French Consumer Spending m/m,Low,2024-01-12 13:15:00,False,0.7%,-0.1%,better
 Jan 12,1:15pm,EUR,French Final CPI m/m,Low,2024-01-12 13:15:00,False,0.1%,0.1%,
 Jan 12,3:06pm,CNY,New Loans,Medium,2024-01-12 15:06:00,False,1170B,1360B,worse
 Jan 12,3:06pm,CNY,M2 Money Supply y/y,Low,2024-01-12 15:06:00,False,9.7%,10.1%,worse
 Jan 12,6:05pm,GBP,NIESR GDP Estimate,Low,2024-01-12 18:05:00,False,0.0%,,
 Jan 12,7:00pm,USD,Core PPI m/m,High,2024-01-12 19:00:00,False,0.0%,0.2%,worse
 Jan 12,7:00pm,USD,PPI m/m,High,2024-01-12 19:00:00,False,-0.1%,0.1%,worse
 Jan 15,5:20am,JPY,M2 Money Stock y/y,Low,2024-01-15 05:20:00,False,2.3%,2.2%,better
 Jan 15,5:31am,GBP,Rightmove HPI m/m,Low,2024-01-15 05:31:00,False,1.3%,,
 Jan 15,5:43am,AUD,MI Inflation Gauge m/m,Low,2024-01-15 05:43:00,False,1.0%,,
 Jan 15,6:00am,AUD,ANZ Job Advertisements m/m,Low,2024-01-15 06:00:00,False,0.1%,,
 Jan 15,11:29am,JPY,Prelim Machine Tool Orders y/y,Low,2024-01-15 11:29:00,False,-9.9%,,
 Jan 15,12:30pm,EUR,German WPI m/m,Low,2024-01-15 12:30:00,False,-0.6%,0.2%,worse
 Jan 15,2:30pm,EUR,Italian Trade Balance,Low,2024-01-15 14:30:00,False,3.89B,5.20B,worse
 Jan 15,Day 1,All,WEF Annual Meetings,Medium,2024-01-15 00:00:00,False,,,
 Jan 15,3:30pm,EUR,Industrial Production m/m,Low,2024-01-15 15:30:00,False,-0.3%,-0.3%,
 Jan 15,3:30pm,EUR,Trade Balance,Low,2024-01-15 15:30:00,False,14.8B,11.2B,better
 Jan 15,All Day,EUR,Eurogroup Meetings,Low,2024-01-15 00:00:00,True,,,
 Jan 15,All Day,USD,Bank Holiday,None,2024-01-15 00:00:00,True,,,
 Jan 15,7:00pm,CAD,Manufacturing Sales m/m,Low,2024-01-15 19:00:00,False,1.2%,0.9%,better
 Jan 15,7:00pm,CAD,Wholesale Sales m/m,Low,2024-01-15 19:00:00,False,0.9%,0.9%,
 Jan 15,9:00pm,CAD,BOC Business Outlook Survey,Medium,2024-01-15 21:00:00,False,,,
 Jan 16,2:30am,NZD,NZIER Business Confidence,Low,2024-01-16 02:30:00,False,-2,,
 Jan 16,5:00am,AUD,Westpac Consumer Sentiment,Low,2024-01-16 05:00:00,False,-1.3%,,
 Jan 16,5:20am,JPY,PPI y/y,Low,2024-01-16 05:20:00,False,0.0%,-0.3%,better
 Jan 16,12:30pm,EUR,German Final CPI m/m,Low,2024-01-16 12:30:00,False,0.1%,0.1%,
 Jan 16,12:30pm,GBP,Claimant Count Change,High,2024-01-16 12:30:00,False,11.7K,18.1K,better
 Jan 16,12:30pm,GBP,Average Earnings Index 3m/y,Medium,2024-01-16 12:30:00,False,6.5%,6.8%,worse
 Jan 16,12:30pm,GBP,Unemployment Rate,Low,2024-01-16 12:30:00,False,4.2%,4.2%,
 Jan 16,Day 2,All,WEF Annual Meetings,Medium,2024-01-16 00:00:00,False,,,
 Jan 16,3:30pm,EUR,German ZEW Economic Sentiment,Low,2024-01-16 15:30:00,False,15.2,11.6,better
 Jan 16,3:30pm,EUR,ZEW Economic Sentiment,Low,2024-01-16 15:30:00,False,22.7,20.2,better
 Jan 16,All Day,EUR,ECOFIN Meetings,Low,2024-01-16 00:00:00,True,,,
 Jan 16,6:45pm,CAD,Housing Starts,Low,2024-01-16 18:45:00,False,249K,245K,better
 Jan 16,7:00pm,CAD,CPI m/m,High,2024-01-16 19:00:00,False,-0.3%,-0.3%,
 Jan 16,7:00pm,CAD,Median CPI y/y,High,2024-01-16 19:00:00,False,3.6%,3.3%,better
 Jan 16,7:00pm,CAD,Trimmed CPI y/y,High,2024-01-16 19:00:00,False,3.7%,3.4%,better
 Jan 16,7:00pm,CAD,Common CPI y/y,Medium,2024-01-16 19:00:00,False,3.9%,3.8%,better
 Jan 16,7:00pm,CAD,Core CPI m/m,Low,2024-01-16 19:00:00,False,-0.5%,,
 Jan 16,7:00pm,USD,Empire State Manufacturing Index,High,2024-01-16 19:00:00,False,-43.7,-4.9,worse
 Jan 16,8:01pm,NZD,GDT Price Index,Low,2024-01-16 20:01:00,False,2.3%,,
 Jan 16,8:30pm,GBP,BOE Gov Bailey Speaks,High,2024-01-16 20:30:00,False,,,
 Jan 16,9:30pm,USD,FOMC Member Waller Speaks,Low,2024-01-16 21:30:00,False,,,
 Jan 17,7:00am,CNY,New Home Prices m/m,Low,2024-01-17 07:00:00,False,-0.45%,,
 Jan 17,7:30am,CNY,Industrial Production y/y,High,2024-01-17 07:30:00,False,6.8%,6.6%,
 Jan 17,7:30am,CNY,GDP q/y,Medium,2024-01-17 07:30:00,False,5.2%,5.3%,worse
 Jan 17,7:30am,CNY,Retail Sales y/y,Medium,2024-01-17 07:30:00,False,7.4%,7.9%,worse
 Jan 17,7:30am,CNY,Fixed Asset Investment ytd/y,Low,2024-01-17 07:30:00,False,3.0%,2.9%,
 Jan 17,7:30am,CNY,NBS Press Conference,Low,2024-01-17 07:30:00,False,,,
 Jan 17,7:30am,CNY,Unemployment Rate,Low,2024-01-17 07:30:00,False,5.1%,5.0%,worse
 Jan 17,12:30pm,GBP,CPI y/y,High,2024-01-17 12:30:00,False,4.0%,3.8%,better
 Jan 17,12:30pm,GBP,Core CPI y/y,Low,2024-01-17 12:30:00,False,5.1%,4.9%,better
 Jan 17,12:30pm,GBP,PPI Input m/m,Low,2024-01-17 12:30:00,False,-1.2%,-0.6%,worse
 Jan 17,12:30pm,GBP,PPI Output m/m,Low,2024-01-17 12:30:00,False,-0.6%,-0.2%,worse
 Jan 17,12:30pm,GBP,RPI y/y,Low,2024-01-17 12:30:00,False,5.2%,5.1%,better
 Jan 17,1:15pm,EUR,French Gov Budget Balance,Low,2024-01-17 13:15:00,False,-198.0B,,
 Jan 17,Day 3,All,WEF Annual Meetings,Medium,2024-01-17 00:00:00,False,,,
 Jan 17,3:00pm,GBP,HPI y/y,Low,2024-01-17 15:00:00,False,-2.1%,-1.9%,worse
 Jan 17,3:30pm,EUR,Final Core CPI y/y,Low,2024-01-17 15:30:00,False,3.4%,3.4%,
 Jan 17,3:30pm,EUR,Final CPI y/y,Low,2024-01-17 15:30:00,False,2.9%,2.9%,
 Jan 17,4:06pm,EUR,German 30-y Bond Auction,Low,2024-01-17 16:06:00,False,2.45|2.5,,
 Jan 17,5:03pm,GBP,10-y Bond Auction,Low,2024-01-17 17:03:00,False,3.97|3.1,,
 Jan 17,7:00pm,CAD,Foreign Securities Purchases,Low,2024-01-17 19:00:00,False,11.43B,7.58B,better
 Jan 17,7:00pm,CAD,IPPI m/m,Low,2024-01-17 19:00:00,False,-1.5%,-0.7%,worse
 Jan 17,7:00pm,CAD,RMPI m/m,Low,2024-01-17 19:00:00,False,-4.9%,-1.5%,worse
 Jan 17,7:00pm,USD,Core Retail Sales m/m,High,2024-01-17 19:00:00,False,0.4%,0.2%,better
 Jan 17,7:00pm,USD,Retail Sales m/m,High,2024-01-17 19:00:00,False,0.6%,0.4%,better
 Jan 17,7:00pm,USD,Import Prices m/m,Low,2024-01-17 19:00:00,False,0.0%,-0.6%,better
 Jan 17,7:30pm,USD,FOMC Member Barr Speaks,Low,2024-01-17 19:30:00,False,,,
 Jan 17,7:30pm,USD,FOMC Member Bowman Speaks,Low,2024-01-17 19:30:00,False,,,
 Jan 17,7:45pm,USD,Industrial Production m/m,Medium,2024-01-17 19:45:00,False,0.1%,-0.1%,better
 Jan 17,7:45pm,USD,Capacity Utilization Rate,Low,2024-01-17 19:45:00,False,78.6%,78.7%,
 Jan 17,8:30pm,USD,Business Inventories m/m,Low,2024-01-17 20:30:00,False,-0.1%,-0.1%,
 Jan 17,8:30pm,USD,NAHB Housing Market Index,Low,2024-01-17 20:30:00,False,44,39,better
 Jan 17,8:45pm,EUR,ECB President Lagarde Speaks,Medium,2024-01-17 20:45:00,False,,,
 Jan 18,12:00am,EUR,German Buba President Nagel Speaks,Low,2024-01-18 00:00:00,False,,,
 Jan 18,12:30am,USD,Beige Book,Low,2024-01-18 00:30:00,False,,,
 Jan 18,1:30am,USD,FOMC Member Williams Speaks,Low,2024-01-18 01:30:00,False,,,
 Jan 18,3:15am,NZD,FPI m/m,Low,2024-01-18 03:15:00,False,-0.1%,,
 Jan 18,5:20am,JPY,Core Machinery Orders m/m,Low,2024-01-18 05:20:00,False,-4.9%,-0.8%,worse
 Jan 18,5:31am,GBP,RICS House Price Balance,Low,2024-01-18 05:31:00,False,-30%,-35%,better
 Jan 18,5:33am,AUD,MI Inflation Expectations,Low,2024-01-18 05:33:00,False,4.5%,,
 Jan 18,6:00am,AUD,Employment Change,High,2024-01-18 06:00:00,False,-65.1K,15.4K,worse
 Jan 18,6:00am,AUD,Unemployment Rate,High,2024-01-18 06:00:00,False,3.9%,3.9%,
 Jan 18,10:00am,JPY,Revised Industrial Production m/m,Low,2024-01-18 10:00:00,False,-0.9%,-0.9%,
 Jan 18,2:30pm,EUR,Current Account,Low,2024-01-18 14:30:00,False,24.6B,30.9B,worse
 Jan 18,Day 4,All,WEF Annual Meetings,Medium,2024-01-18 00:00:00,False,,,
 Jan 18,3:00pm,GBP,BOE Credit Conditions Survey,Low,2024-01-18 15:00:00,False,,,
 Jan 18,4:00pm,CHF,SNB Chairman Jordan Speaks,Medium,2024-01-18 16:00:00,False,,,
 Jan 18,6:00pm,EUR,ECB Monetary Policy Meeting Accounts,Low,2024-01-18 18:00:00,False,,,
 Jan 18,6:00pm,USD,FOMC Member Bostic Speaks,Low,2024-01-18 18:00:00,False,,,
 Jan 18,7:00pm,USD,Unemployment Claims,High,2024-01-18 19:00:00,False,187K,206K,better
 Jan 18,7:00pm,USD,Building Permits,Medium,2024-01-18 19:00:00,False,1.50M,1.47M,better
 Jan 18,7:00pm,USD,Philly Fed Manufacturing Index,Medium,2024-01-18 19:00:00,False,-10.6,-6.6,worse
 Jan 18,7:00pm,USD,Housing Starts,Low,2024-01-18 19:00:00,False,1.46M,1.43M,better
 Jan 18,8:45pm,EUR,ECB President Lagarde Speaks,Medium,2024-01-18 20:45:00,False,,,
 Jan 18,9:00pm,AUD,CB Leading Index m/m,Low,2024-01-18 21:00:00,False,0.2%,,
 Jan 18,9:00pm,USD,Natural Gas Storage,Low,2024-01-18 21:00:00,False,-154B,-166B,worse
 Jan 18,9:30pm,USD,Crude Oil Inventories,Low,2024-01-18 21:30:00,False,-2.5M,-0.6M,better
 Jan 18,10:35pm,USD,FOMC Member Bostic Speaks,Low,2024-01-18 22:35:00,False,,,
 Jan 19,3:00am,NZD,BusinessNZ Manufacturing Index,Low,2024-01-19 03:00:00,False,43.1,,
 Jan 19,3:15am,NZD,Visitor Arrivals m/m,Low,2024-01-19 03:15:00,False,-1.5%,,
 Jan 19,5:00am,JPY,National Core CPI y/y,Low,2024-01-19 05:00:00,False,2.3%,2.3%,
 Jan 19,10:00am,JPY,Tertiary Industry Activity m/m,Low,2024-01-19 10:00:00,False,-0.7%,0.2%,worse
 Jan 19,12:30pm,EUR,German PPI m/m,Low,2024-01-19 12:30:00,False,-1.2%,-0.4%,worse
 Jan 19,12:30pm,GBP,Retail Sales m/m,High,2024-01-19 12:30:00,False,-3.2%,-0.5%,worse
 Jan 19,1:00pm,CHF,PPI m/m,Low,2024-01-19 13:00:00,False,-0.6%,-0.6%,
 Jan 19,2:01pm,CNY,Foreign Direct Investment ytd/y,Low,2024-01-19 14:01:00,False,-8.0%,,
 Jan 19,Day 5,All,WEF Annual Meetings,Medium,2024-01-19 00:00:00,False,,,
 Jan 19,3:30pm,EUR,ECB President Lagarde Speaks,Medium,2024-01-19 15:30:00,False,,,
 Jan 19,7:00pm,CAD,Core Retail Sales m/m,Medium,2024-01-19 19:00:00,False,-0.5%,0.1%,worse
 Jan 19,7:00pm,CAD,Retail Sales m/m,Medium,2024-01-19 19:00:00,False,-0.2%,0.0%,worse
